timestamp_s,download_kbps
0.320,4646.671
0.673,4696.755
0.945,4701.076
1.671,4613.635
3.451,4593.313
5.329,3515.340
8.620,3463.431
16.874,2246.092
22.560,2914.009
26.617,4331.904
31.478,3644.556
37.263,2927.187
39.608,3596.775
42.022,3591.006
43.279,3609.247
44.950,4506.016
48.826,4797.672
52.877,4152.242
57.379,3976.233
61.807,3924.001
65.602,4421.074
69.018,5258.759
72.487,5258.002
76.795,3906.498
81.631,3864.440
85.883,4038.812
90.268,4499.813
93.808,4507.538
98.138,4037.095
102.617,3926.768
106.965,3970.302
110.558,4840.230
114.249,4814.225
118.421,4666.859
122.567,4550.726
126.812,4079.825
130.691,4060.880
135.187,3925.003
139.657,3927.067
143.535,4488.617
147.362,4493.321
151.296,4498.473
155.373,4501.571
159.191,4694.029
162.888,4748.492
166.952,4556.807
170.565,4412.013
174.224,4769.045
176.473,5297.582
