timestamp_s,download_kbps
1.283,1171.021
2.388,1181.994
3.492,1180.228
4.692,1179.750
7.682,1161.781
9.549,1411.136
13.377,1937.449
17.321,2173.686
19.940,2702.045
21.814,4059.469
24.079,3461.580
25.951,4026.014
27.456,5224.006
30.905,5360.132
33.652,6060.896
36.217,6857.771
39.802,5241.062
43.150,5083.646
45.495,7754.608
48.079,6971.245
50.971,5695.701
54.455,5345.948
57.940,5176.827
61.240,5058.027
65.956,3766.269
69.680,4594.067
73.132,5592.268
77.608,3587.172
81.187,4907.159
85.426,4205.276
91.852,2747.975
95.300,5062.704
98.724,5282.879
102.312,5219.426
106.242,4814.158
110.015,4626.810
113.862,4093.350
119.054,3342.361
122.323,5311.437
125.058,6979.252
129.159,4161.838
136.935,2262.339
144.374,2308.325
149.368,3580.641
152.971,4781.885
156.253,5536.675
158.851,6167.107
161.646,6292.006
164.291,4798.855
