timestamp_s,download_kbps
0.463,3239.216
0.899,3249.713
1.896,3200.109
2.976,3182.976
4.656,3177.002
6.726,3186.705
9.534,2663.279
14.369,1784.956
17.548,2182.554
21.051,2128.415
24.836,2022.203
28.354,2139.774
30.635,3404.408
36.204,1565.049
40.899,1441.142
43.792,2659.474
47.590,2102.662
51.617,1819.182
54.414,2924.376
56.710,3359.109
58.689,3798.100
63.459,1647.660
66.279,3009.797
68.634,3011.800
71.095,3012.079
76.282,3323.174
81.698,3623.502
86.430,3418.501
91.722,3275.832
97.250,3186.073
102.885,3036.197
108.452,3157.445
113.003,3902.180
118.300,3660.282
124.250,3162.435
129.762,3145.925
137.257,2065.391
140.948,2071.364
144.528,2072.803
148.327,2007.176
152.748,1587.884
156.539,2203.719
159.843,2198.462
163.314,2293.723
166.283,2675.951
173.543,1116.458
176.060,2729.298
178.471,2872.703
179.912,3419.557
