timestamp_s,download_kbps
0.474,3168.645
0.905,3183.223
1.911,3135.750
3.590,3133.448
6.267,3128.282
8.367,3123.033
10.332,3778.884
12.857,3467.060
14.714,3786.162
20.832,2883.617
26.367,3187.567
40.699,1177.762
44.760,2018.872
48.863,2051.369
51.341,2717.258
52.345,3153.619
53.326,3144.497
54.889,3141.083
57.598,3057.920
60.439,2713.933
63.150,2709.013
66.227,2707.955
68.937,2956.933
70.974,3564.424
76.010,3500.965
82.162,2786.079
96.018,1388.244
97.735,3741.873
100.575,2817.663
103.911,2370.631
107.563,2082.692
110.812,2391.364
113.538,2696.305
116.440,2933.982
118.357,4439.399
120.107,4452.557
123.528,4627.372
127.253,4713.233
131.073,4540.149
136.696,3077.426
143.267,2615.588
152.419,1921.347
158.344,1848.274
162.718,1814.573
166.301,2203.951
169.882,2268.046
172.820,2371.820
174.711,3767.924
176.082,3769.315
