timestamp_s,download_kbps
0.274,5467.699
0.901,5399.188
4.446,3050.101
6.900,3131.799
8.613,4968.219
10.426,3743.262
13.373,2530.255
16.090,3181.063
18.166,3488.070
20.146,3780.302
25.882,3068.321
30.081,4137.667
34.114,4525.270
38.837,3933.234
44.511,2868.954
49.628,3434.357
54.680,3690.071
59.118,3824.535
64.229,3680.507
68.416,4204.150
72.758,3843.190
74.259,3416.249
75.252,3412.764
77.368,3406.430
79.685,3159.106
82.214,3022.302
85.168,3018.855
87.145,3146.046
92.446,3263.312
96.151,4758.966
99.834,4667.461
103.440,4869.033
106.828,5287.660
110.007,5908.943
112.706,7103.615
118.006,3300.921
124.733,2388.159
131.902,2426.859
137.323,3219.114
141.450,4256.063
144.813,5111.493
148.335,5099.670
151.908,4852.894
155.483,5117.560
159.008,5002.825
162.810,5118.783
165.459,6157.425
169.023,4908.911
171.793,4282.772
