timestamp_s,download_kbps
0.659,2268.967
1.267,2292.155
1.816,2260.315
2.466,2289.974
3.998,2236.745
5.252,2243.408
6.581,2230.147
9.560,2888.626
17.999,1960.156
23.865,3019.069
32.626,1997.034
37.364,1582.455
42.249,1572.189
47.722,1538.622
51.499,1790.533
55.254,2145.660
58.984,2110.121
63.519,1577.407
65.690,1576.661
66.528,1605.481
69.704,1569.069
74.432,1661.271
78.545,1928.339
81.268,2639.019
83.875,3034.984
86.209,3160.698
89.343,2847.204
91.739,2609.972
94.801,2610.662
97.921,2599.563
100.900,2426.192
104.196,2405.679
107.261,2406.695
111.003,2370.530
114.579,2370.329
117.546,2587.028
119.786,2687.418
122.717,2588.313
136.488,1249.247
139.741,2392.229
142.709,2377.155
146.566,2189.597
148.709,3725.717
152.463,2135.318
157.665,1492.598
159.802,3755.503
166.048,1088.768
170.969,1403.599
173.157,2241.834
